Identifiant_de_l_etablissement,Etablissement,Libellé académie,Libellé département,Libellé commune,Secteur,Candidats au DNB Série générale,Note Brute Série générale Note ecrit
0060838D,COLLEGE SIMONE VEIL,NICE,ALPES-MARITIMES,NICE,PU,97,"8,4"
0060840F,COLLEGE FREDERIC MISTRAL,NICE,ALPES-MARITIMES,NICE,PU,174,"9,8"
0060841G,COLLEGE JEAN-HENRI FABRE,NICE,ALPES-MARITIMES,NICE,PU,150,"9,2"
0060842H,COLLEGE PIERRE BERTONE,NICE,ALPES-MARITIMES,ANTIBES,PU,143,"10,1"
0060910G,COLLEGE LA BOURGADE,NICE,ALPES-MARITIMES,LA TRINITE,PU,132,"9,0"
0060911H,COLLEGE LES BREGUIERES,NICE,ALPES-MARITIMES,CAGNES SUR MER,PU,101,"10,6"
0061001F,COLLEGE NUCERA LOUIS,NICE,ALPES-MARITIMES,NICE,PU,114,"8,3"
0061002G,COLLEGE ALPHONSE DAUDET,NICE,ALPES-MARITIMES,NICE,PU,126,"8,7"
0061003H,COLLEGE JEAN ROSTAND,NICE,ALPES-MARITIMES,NICE,PU,92,"8,3"
0061006L,COLLEGE HENRI MATISSE,NICE,ALPES-MARITIMES,NICE,PU,244,"12,9"
0061068D,COLLEGE LES CAMPELIERES,NICE,ALPES-MARITIMES,MOUGINS,PU,147,"10,8"
0061119J,COLLEGE PRIVE NOTRE-DAME DE LA TRAMONTANE,NICE,ALPES-MARITIMES,ANTIBES,PR,142,"14,1"
0061127T,COLLEGE PRIVE SAINT BARTHELEMY,NICE,ALPES-MARITIMES,NICE,PR,125,"14,5"
0061129V,COLLEGE JULES ROMAINS,NICE,ALPES-MARITIMES,NICE,PU,87,"8,5"
0061130W,COLLEGE PAUL LANGEVIN,NICE,ALPES-MARITIMES,CARROS,PU,159,"10,5"
0061131X,COLLEGE MAURICE JAUBERT,NICE,ALPES-MARITIMES,NICE,PU,158,"6,2"
0061133Z,COLLEGE LA FONTONNE,NICE,ALPES-MARITIMES,ANTIBES,PU,84,"9,7"
0061134A,COLLEGE JOSEPH PAGNOL,NICE,ALPES-MARITIMES,SAINT LAURENT DU VAR,PU,158,"10,6"
0061135B,COLLEGE LA SINE,NICE,ALPES-MARITIMES,VENCE,PU,196,"11,0"
0061174U,COLLEGE GERARD PHILIPE,NICE,ALPES-MARITIMES,CANNES,PU,112,"9,3"
0061175V,COLLEGE ALBERT CAMUS,NICE,ALPES-MARITIMES,MANDELIEU LA NAPOULE,PU,143,"10,2"
0061209G,COLLEGE JEAN COCTEAU,NICE,ALPES-MARITIMES,BEAULIEU SUR MER,PU,118,"11,2"
0061211J,COLLEGE PABLO PICASSO,NICE,ALPES-MARITIMES,VALLAURIS,PU,164,"9,6"
0061237M,COLLEGE LA VESUBIE-JEAN SALINES,NICE,ALPES-MARITIMES,ROQUEBILLIERE,PU,59,"10,0"
0061238N,COLLEGE ANDRE MAUROIS,NICE,ALPES-MARITIMES,MENTON,PU,170,"9,2"
0061239P,COLLEGE PIERRE BONNARD,NICE,ALPES-MARITIMES,LE CANNET,PU,141,"9,9"
0061240R,COLLEGE CARNOT,NICE,ALPES-MARITIMES,GRASSE,PU,110,"9,4"
0061244V,COLLEGE CANTEPERDRIX,NICE,ALPES-MARITIMES,GRASSE,PU,138,"10,5"
0061277F,COLLEGE PORT LYMPIA,NICE,ALPES-MARITIMES,NICE,PU,159,"10,9"
0061278G,COLLEGE BELLEVUE,NICE,ALPES-MARITIMES,BEAUSOLEIL,PU,80,"9,8"
0061279H,COLLEGE LES VALLERGUES,NICE,ALPES-MARITIMES,CANNES,PU,103,"8,8"
0061280J,COLLEGE JULES VERNE,NICE,ALPES-MARITIMES,CAGNES SUR MER,PU,150,"11,0"
0061339Y,COLLEGE PARC IMPERIAL,NICE,ALPES-MARITIMES,NICE,PU,210,"10,6"
0061342B,COLLEGE ANDRE CAPRON,NICE,ALPES-MARITIMES,CANNES,PU,97,"9,6"
0061376N,COLLEGE YVES KLEIN,NICE,ALPES-MARITIMES,LA COLLE SUR LOUP,PU,192,"12,4"
0061400P,COLLEGE LUDOVIC BREA,NICE,ALPES-MARITIMES,SAINT MARTIN DU VAR,PU,118,"10,1"
0061456A,COLLEGE PRIVE MONT SAINT JEAN,NICE,ALPES-MARITIMES,ANTIBES,PR,96,"13,8"
0061457B,COLLEGE PRIVE STANISLAS,NICE,ALPES-MARITIMES,CANNES,PR,246,"14,3"
0061458C,COLLEGE PRIVE INSTITUTION ST JOSEPH CARNOLES,NICE,ALPES-MARITIMES,ROQUEBRUNE CAP MARTIN,PR,132,"12,2"
0061459D,COLLEGE PRIVE FENELON,NICE,ALPES-MARITIMES,GRASSE,PR,220,"13,7"
0061460E,COLLEGE PRIVE SASSERNO,NICE,ALPES-MARITIMES,NICE,PR,183,"13,0"
0061461F,COLLEGE PRIVE STANISLAS,NICE,ALPES-MARITIMES,NICE,PR,146,"14,9"
0061666D,COLLEGE DES BAOUS,NICE,ALPES-MARITIMES,SAINT JEANNET,PU,198,"12,3"
0061668F,COLLEGE LES JASMINS-STE MARGUERITE,NICE,ALPES-MARITIMES,GRASSE,PU,89,"10,2"
0061670H,COLLEGE L'EGANAUDE,NICE,ALPES-MARITIMES,BIOT,PU,201,"12,6"
0061694J,COLLEGE L'ARCHET,NICE,ALPES-MARITIMES,NICE,PU,186,"11,2"
0061723R,COLLEGE EMILE ROUX,NICE,ALPES-MARITIMES,LE CANNET,PU,132,"10,3"
0061737F,COLLEGE ANDRE MALRAUX,NICE,ALPES-MARITIMES,CAGNES SUR MER,PU,132,"11,5"
0061738G,COLLEGE SAINT EXUPERY,NICE,ALPES-MARITIMES,SAINT LAURENT DU VAR,PU,125,"12,1"
0061772U,COLLEGE PRIVE OR TORAH,NICE,ALPES-MARITIMES,NICE,PR,27,"12,4"
0061795U,COLLEGE LA CHENAIE,NICE,ALPES-MARITIMES,MOUANS SARTOUX,PU,157,"11,0"
0061796V,COLLEGE PAUL ARENE,NICE,ALPES-MARITIMES,PEYMEINADE,PU,170,"11,0"
0061824A,COLLEGE GUILLAUME VENTO,NICE,ALPES-MARITIMES,MENTON,PU,145,"10,1"
0061825B,COLLEGE ROMEE DE VILLENEUVE,NICE,ALPES-MARITIMES,VILLENEUVE LOUBET,PU,158,"10,7"
0061826C,COLLEGE FRANCOIS RABELAIS,NICE,ALPES-MARITIMES,L ESCARENE,PU,74,"8,6"
0061853G,COLLEGE LE PRE DES ROURES,NICE,ALPES-MARITIMES,LE ROURET,PU,140,"12,3"
0061924J,COLLEGE LES MIMOSAS,NICE,ALPES-MARITIMES,MANDELIEU LA NAPOULE,PU,107,"11,5"
0061925K,COLLEGE NIKI DE SAINT PHALLE,NICE,ALPES-MARITIMES,SOPHIA ANTIPOLIS,PU,195,"13,6"
0061986B,COLLEGE SIMON WIESENTHAL,NICE,ALPES-MARITIMES,SAINT VALLIER DE THIEY,PU,87,"11,2"
0062011D,COLLEGE INTERNATIONAL,NICE,ALPES-MARITIMES,VALBONNE,PU,184,"15,4"
0062056C,COLLEGE CESAR,NICE,ALPES-MARITIMES,ROQUEFORT LES PINS,PU,186,"13,7"
0062181N,COLLEGE ARNAUD BELTRAME,NICE,ALPES-MARITIMES,PEGOMAS,PU,141,"11,1"
0070006U,COLLEGE LE LAOUL,GRENOBLE,ARDECHE,BOURG ST ANDEOL,PU,90,"9,5"
0070010Y,COLLEGE ALBERT MERCOYROL,GRENOBLE,ARDECHE,CRUAS,PU,57,"11,3"
0070011Z,COLLEGE CHARLES DE GAULLE,GRENOBLE,ARDECHE,GUILHERAND GRANGES,PU,169,"11,8"
0070012A,COLLEGE VALLEE DE LA BEAUME,GRENOBLE,ARDECHE,JOYEUSE,PU,59,"9,7"
0070017F,COLLEGE LA SEGALIERE,GRENOBLE,ARDECHE,LARGENTIERE,PU,39,"11,6"
0070018G,COLLEGE JOSEPH DURAND,GRENOBLE,ARDECHE,MONTPEZAT SOUS BAUZON,PU,57,"11,2"
0070019H,COLLEGE ALEX MEZENC,GRENOBLE,ARDECHE,LE POUZIN,PU,65,"9,9"
0070023M,COLLEGE LOUIS JOUVET,GRENOBLE,ARDECHE,SAINT AGREVE,PU,20,"12,0"
0070025P,COLLEGE DE L'EYRIEUX,GRENOBLE,ARDECHE,SAINT SAUVEUR DE MONTAGUT,PU,39,"11,9"
0070035A,COLLEGE HENRI AGERON,GRENOBLE,ARDECHE,VALLON PONT D ARC,PU,93,"9,8"
0070037C,COLLEGE LEONCE VIELJEUX,GRENOBLE,ARDECHE,LES VANS,PU,58,"10,4"
0070040F,COLLEGE LABOISSIERE,GRENOBLE,ARDECHE,VILLENEUVE DE BERG,PU,94,"10,6"
0070042H,COLLEGE LES TROIS VALLEES,GRENOBLE,ARDECHE,LA VOULTE SUR RHONE,PU,111,"10,3"
0070059B,COLLEGE PRIVE NOTRE DAME,GRENOBLE,ARDECHE,ANNONAY,PR,105,"11,7"
0070060C,COLLEGE PRIVE SAINT BASILE,GRENOBLE,ARDECHE,ANNONAY,PR,138,"13,3"
0070062E,COLLEGE PRIVE ST FRANCOIS D'ASSISE,GRENOBLE,ARDECHE,AUBENAS,PR,182,"11,5"
0070080Z,COLLEGE PRIVE LE PORTALET NOTRE DAME,GRENOBLE,ARDECHE,LARGENTIERE,PR,48,"12,1"
0070086F,COLLEGE PRIVE SAINT JOSEPH EN VAL D'AY,GRENOBLE,ARDECHE,SATILLIEU,PR,51,"11,5"
0070092M,COLLEGE PRIVE NOTRE DAME,GRENOBLE,ARDECHE,TOURNON SUR RHONE,PR,99,"12,2"
0070846G,COLLEGE GEORGES GOUY,GRENOBLE,ARDECHE,VALS LES BAINS,PU,83,"11,1"
0070847H,COLLEGE MARCEL CHAMONTIN,GRENOBLE,ARDECHE,LE TEIL,PU,154,"10,3"
0070848J,COLLEGE MARIE CURIE,GRENOBLE,ARDECHE,TOURNON SUR RHONE,PU,209,"10,8"
0070849K,COLLEGE DES DEUX VALLEES,GRENOBLE,ARDECHE,LE CHEYLARD,PU,57,"10,9"
0070860X,COLLEGE PRIVE MARIE RIVIER,GRENOBLE,ARDECHE,BOURG ST ANDEOL,PR,105,"11,8"
0070861Y,COLLEGE PRIVE SAINT LOUIS LES MARISTES,GRENOBLE,ARDECHE,LE CHEYLARD,PR,45,"10,6"
0070863A,COLLEGE PRIVE SAINT JOSEPH,GRENOBLE,ARDECHE,RUOMS,PR,36,"10,1"
0070864B,COLLEGE PRIVE GABRIEL LONGUEVILLE,GRENOBLE,ARDECHE,LE TEIL,PR,37,"11,9"
0070872K,COLLEGE DU VIVARAIS,GRENOBLE,ARDECHE,LAMASTRE,PU,46,"12,2"
0070890E,COLLEGE DOCTEUR PIERRE DELARBRE,GRENOBLE,ARDECHE,VERNOUX EN VIVARAIS,PU,47,"11,1"
0071156U,COLLEGE LES PERRIERES,GRENOBLE,ARDECHE,ANNONAY,PU,175,"9,1"
0071168G,COLLEGE PRIVE CHARLES DE FOUCAULD,GRENOBLE,ARDECHE,LAMASTRE,PR,21,"11,8"
0071169H,COLLEGE ROQUA,GRENOBLE,ARDECHE,AUBENAS,PU,116,"10,4"
0071192H,COLLEGE PRIVE SAINT LOUIS,GRENOBLE,ARDECHE,TOURNON SUR RHONE,PR,129,"11,9"
0071245R,COLLEGE DE JASTRES,GRENOBLE,ARDECHE,AUBENAS,PU,65,"8,9"
0071246S,COLLEGE BERNARD DE VENTADOUR,GRENOBLE,ARDECHE,PRIVAS,PU,192,"11,8"
0071281E,COLLEGE PRIVE SACRE COEUR,GRENOBLE,ARDECHE,PRIVAS,PR,41,"12,5"
0071300A,COLLEGE LA LOMBARDIERE,GRENOBLE,ARDECHE,ANNONAY,PU,107,"10,3"
0071320X,COLLEGE DE CRUSSOL,GRENOBLE,ARDECHE,SAINT PERAY,PU,135,"11,5"
0080011U,COLLEGE JEAN MACE,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,80,"10,8"
0080016Z,COLLEGE MARIE-HELENE CARDOT,REIMS,ARDENNES,DOUZY,PU,78,"9,3"
0080017A,COLLEGE LES AURAINS,REIMS,ARDENNES,FUMAY,PU,63,"10,3"
0080021E,COLLEGE DE LA RETOURNE,REIMS,ARDENNES,JUNIVILLE,PU,63,"12,1"
0080035V,COLLEGE ARTHUR RIMBAUD,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,82,"10,8"
0080036W,COLLEGE JEAN ROGISSART,REIMS,ARDENNES,NOUZONVILLE,PU,63,"9,9"
0080042C,COLLEGE DU BLANC MARAIS,REIMS,ARDENNES,RIMOGNE,PU,67,"11,2"
0080046G,COLLEGE ELISABETH DE NASSAU,REIMS,ARDENNES,SEDAN,PU,48,"10,7"
0080052N,COLLEGE CHARLES BRUNEAU,REIMS,ARDENNES,VIREUX WALLERAND,PU,43,"11,0"
0080068F,COLLEGE ROUGET DE LISLE,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,79,"9,7"
0080079T,COLLEGE FRED SCAMARONI,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,66,"9,0"
0080084Y,COLLEGE PRIVE ST JEAN-BAPTISTE DE LA SALLE,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PR,158,"12,9"
0080088C,COLLEGE PRIVE STE THERESE,REIMS,ARDENNES,RETHEL,PR,39,"12,4"
0080089D,COLLEGE PRIVE ST LOUIS,REIMS,ARDENNES,VOUZIERS,PR,24,"11,2"
0080105W,COLLEGE JULES FERRY,REIMS,ARDENNES,BOGNY SUR MEUSE,PU,33,"9,8"
0080826E,COLLEGE LE LAC,REIMS,ARDENNES,SEDAN,PU,53,"8,7"
0080827F,COLLEGE LES DEUX VALLEES,REIMS,ARDENNES,MONTHERME,PU,57,"10,2"
0080839U,COLLEGE PASTEUR,REIMS,ARDENNES,VRIGNE AUX BOIS,PU,71,"9,5"
0080894D,COLLEGE ROGER SALENGRO,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,64,"8,6"
0080896F,COLLEGE DU VAL DE MEUSE,REIMS,ARDENNES,NOUVION SUR MEUSE,PU,73,"10,8"
0080897G,COLLEGE ROBERT DE SORBON,REIMS,ARDENNES,RETHEL,PU,99,"10,6"
0080909V,COLLEGE VALLIERE,REIMS,ARDENNES,SAULT LES RETHEL,PU,61,"10,3"
0080910W,COLLEGE TURENNE,REIMS,ARDENNES,SEDAN,PU,74,"8,8"
0080925M,COLLEGE LEO LAGRANGE,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,58,"8,2"
0080948M,COLLEGE GIVET,REIMS,ARDENNES,GIVET,PU,79,"10,2"
0080949N,COLLEGE GEORGE SAND,REIMS,ARDENNES,REVIN,PU,61,"9,0"
0080954U,COLLEGE BAYARD,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PU,66,"9,3"
0080994M,COLLEGE PRIVE NOTRE DAME,REIMS,ARDENNES,CHARLEVILLE MEZIERES,PR,84,"12,5"
0080995N,COLLEGE PRIVE MABILLON,REIMS,ARDENNES,SEDAN,PR,114,"13,0"
0081001V,COLLEGE JULES LEROUX,REIMS,ARDENNES,VILLERS SEMEUSE,PU,67,"11,3"
0081096Y,COLLEGE DE L'ARGONNE,REIMS,ARDENNES,GRANDPRE,PU,24,"8,8"
0081097Z,COLLEGE PAUL DROUOT,REIMS,ARDENNES,VOUZIERS,PU,69,"10,5"
0081098A,COLLEGE ANDREE VIENOT,REIMS,ARDENNES,ROCROI,PU,49,"11,3"
0081099B,COLLEGE JEANNE MELIN,REIMS,ARDENNES,CARIGNAN,PU,65,"10,5"
0081100C,COLLEGE EVA THOME,REIMS,ARDENNES,ATTIGNY,PU,70,"11,3"
0081102E,COLLEGE MULTISITE ASFELD - CHATEAU PORCIEN,REIMS,ARDENNES,ASFELD,PU,103,"9,1"
0081103F,COLLEGE RAUCOURT,REIMS,ARDENNES,RAUCOURT ET FLABA,PU,62,"9,4"
0081104G,COLLEGE SIGNY L'ABBAYE,REIMS,ARDENNES,SIGNY L ABBAYE,PU,77,"10,2"
0081105H,COLLEGE MULTISITE SIGNY-LE-PETIT-LIART,REIMS,ARDENNES,SIGNY LE PETIT,PU,54,"9,9"
0090001C,COLLEGE MARIO BEULAYGUE,TOULOUSE,ARIEGE,AX LES THERMES,PU,48,"11,1"
0090007J,COLLEGE VICTOR HUGO,TOULOUSE,ARIEGE,LAVELANET,PU,64,"10,0"
0090009L,COLLEGE FRANCOIS VERDIER,TOULOUSE,ARIEGE,LEZAT SUR LEZE,PU,70,"11,6"
0090010M,COLLEGE ANDRE SAINT-PAUL,TOULOUSE,ARIEGE,LE MAS D AZIL,PU,68,"11,2"
0090012P,COLLEGE GASTON FEBUS,TOULOUSE,ARIEGE,MAZERES,PU,73,"11,1"
0090023B,COLLEGE DU GIRBET,TOULOUSE,ARIEGE,SAVERDUN,PU,75,"9,8"
0090025D,COLLEGE JULES PALMADE,TOULOUSE,ARIEGE,SEIX,PU,22,"10,7"
0090037S,COLLEGE PRIVE JEAN XXIII,TOULOUSE,ARIEGE,PAMIERS,PR,87,"11,0"
0090038T,COLLEGE PRIVE DU SACRE COEUR,TOULOUSE,ARIEGE,SAINT GIRONS,PR,20,"11,9"
0090055L,COLLEGE PIERRE BAYLE,TOULOUSE,ARIEGE,PAMIERS,PU,140,"9,9"
0090056M,COLLEGE JOSEPH-PAUL RAMBAUD,TOULOUSE,ARIEGE,PAMIERS,PU,120,"8,8"
0090478W,COLLEGE LAKANAL,TOULOUSE,ARIEGE,FOIX,PU,210,"10,8"
0090490J,COLLEGE LOUIS PASTEUR,TOULOUSE,ARIEGE,LAVELANET,PU,47,"11,9"
0090546V,COLLEGE SABARTHES-MONTCALM,TOULOUSE,ARIEGE,TARASCON SUR ARIEGE,PU,99,"10,7"
0090573Z,COLLEGE MIREPOIX,TOULOUSE,ARIEGE,MIREPOIX,PU,98,"11,3"
0090574A,COLLEGE MONT VALIER,TOULOUSE,ARIEGE,SAINT GIRONS,PU,158,"10,6"
0090591U,COLLEGE PRIVE NOTRE-DAME,TOULOUSE,ARIEGE,PAMIERS,PR,75,"12,5"
0100005B,COLLEGE PAUL PORTIER,REIMS,AUBE,BAR SUR SEINE,PU,108,"9,3"
0100007D,COLLEGE JULIEN REGNIER,REIMS,AUBE,BRIENNE LE CHATEAU,PU,94,"8,8"
0100008E,COLLEGE AMADIS JAMYN,REIMS,AUBE,CHAOURCE,PU,39,"11,6"
0100009F,COLLEGE ALBERT CAMUS,REIMS,AUBE,LA CHAPELLE ST LUC,PU,154,"8,3"
0100010G,COLLEGE EUGENE BELGRAND,REIMS,AUBE,ERVY LE CHATEL,PU,43,"11,0"
0100011H,COLLEGE JEAN MOULIN,REIMS,AUBE,MARIGNY LE CHATEL,PU,69,"9,9"
0100013K,COLLEGE DES ROISES,REIMS,AUBE,PINEY,PU,78,"10,9"
0100019S,COLLEGE DE LA VILLENEUVE,REIMS,AUBE,SAINT ANDRE LES VERGERS,PU,126,"9,3"
0100028B,COLLEGE NICOLAS BOURBON,REIMS,AUBE,VENDEUVRE SUR BARSE,PU,64,"9,4"
0100031E,COLLEGE BEURNONVILLE,REIMS,AUBE,TROYES,PU,154,"8,9"
0100033G,COLLEGE CHARLES DELAUNAY,REIMS,AUBE,LUSIGNY SUR BARSE,PU,122,"11,6"
0100038M,COLLEGE LES JACOBINS,REIMS,AUBE,TROYES,PU,111,"6,9"
0100051B,COLLEGE PRIVE ST LOUP,REIMS,AUBE,MESNIL ST LOUP,PR,24,"12,3"
0100054E,COLLEGE PRIVE ST JOSEPH,REIMS,AUBE,ROMILLY SUR SEINE,PR,73,"12,2"
0100055F,COLLEGE PRIVE LOUIS BRISSON,REIMS,AUBE,SAINTE SAVINE,PR,57,"13,0"
0100056G,COLLEGE PRIVE MARGUERITE BOURGEOYS,REIMS,AUBE,TROYES,PR,60,"12,9"
0100057H,COLLEGE PRIVE ST PIERRE EN L'ISLE,REIMS,AUBE,TROYES,PR,74,"10,0"
0100058J,COLLEGE PRIVE ST DOMINIQUE SAVIO,REIMS,AUBE,SAINT JULIEN LES VILLAS,PR,48,"11,7"
0100081J,COLLEGE MARIE CURIE,REIMS,AUBE,TROYES,PU,187,"10,0"
0100664T,COLLEGE PAUL LANGEVIN,REIMS,AUBE,LA CHAPELLE ST LUC,PU,142,"10,3"
0100665U,COLLEGE DE LA VOIE CHATELAINE,REIMS,AUBE,ARCIS SUR AUBE,PU,116,"9,3"
0100745F,COLLEGE PRIVE HENRI BRETON,REIMS,AUBE,BAR SUR SEINE,PR,41,"12,0"
0100765C,COLLEGE MAX HUTIN,REIMS,AUBE,BOUILLY,PU,148,"11,2"
0100785Z,COLLEGE PIERRE LABONDE,REIMS,AUBE,MERY SUR SEINE,PU,101,"10,7"
0100786A,COLLEGE JEAN JAURES,REIMS,AUBE,NOGENT SUR SEINE,PU,130,"9,9"
0100787B,COLLEGE PAUL LANGEVIN,REIMS,AUBE,ROMILLY SUR SEINE,PU,140,"8,9"
0100806X,COLLEGE D'OTHE ET VANNE,REIMS,AUBE,AIX VILLEMAUR PALIS,PU,88,"10,9"
0100807Y,COLLEGE PIERRE BROSSOLETTE,REIMS,AUBE,LA CHAPELLE ST LUC,PU,109,"9,9"
0100902B,COLLEGE GASTON BACHELARD,REIMS,AUBE,BAR SUR AUBE,PU,93,"9,4"
0100905E,COLLEGE LE NOYER MARCHAND,REIMS,AUBE,ROMILLY SUR SEINE,PU,136,"8,4"
0100947A,COLLEGE PIERRE ET FRANCOIS PITHOU,REIMS,AUBE,TROYES,PU,105,"7,8"
0100961R,COLLEGE PRIVE ST FRANCOIS DE SALES,REIMS,AUBE,TROYES,PR,98,"13,5"
0100962S,COLLEGE PRIVE ST BERNARD,REIMS,AUBE,TROYES,PR,124,"14,3"
0101031S,COLLEGE EUREKA,REIMS,AUBE,PONT STE MARIE,PU,129,"9,9"
0110003U,COLLEGE DE L'ALARIC,MONTPELLIER,AUDE,CAPENDU,PU,70,"10,7"
0110010B,COLLEGE ANDRE CHENIER,MONTPELLIER,AUDE,CARCASSONNE,PU,73,"10,4"
0110011C,COLLEGE BLAISE D AURIOL,MONTPELLIER,AUDE,CASTELNAUDARY,PU,80,"9,9"
0110015G,COLLEGE JEAN BAPTISTE BIEULES,MONTPELLIER,AUDE,COUIZA,PU,56,"10,7"
0110021N,COLLEGE VICTOR HUGO,MONTPELLIER,AUDE,NARBONNE,PU,164,"9,4"
0110025T,COLLEGE CITE,MONTPELLIER,AUDE,NARBONNE,PU,115,"11,5"
0110026U,COLLEGE JULES FERRY,MONTPELLIER,AUDE,NARBONNE,PU,136,"10,5"
0110037F,COLLEGE ALAIN,MONTPELLIER,AUDE,CARCASSONNE,PU,105,"9,3"
0110044N,COLLEGE PRIVE JEANNE D ARC,MONTPELLIER,AUDE,CARCASSONNE,PR,127,"12,5"
0110049U,COLLEGE PRIVE INSTITUTION SEVIGNE,MONTPELLIER,AUDE,NARBONNE,PR,187,"13,4"
0110052X,COLLEGE PRIVE SAINT-JOSEPH DE CLUNY,MONTPELLIER,AUDE,LIMOUX,PR,39,"10,0"
0110067N,COLLEGE LES MAILHEULS,MONTPELLIER,AUDE,COURSAN,PU,171,"9,5"
0110068P,COLLEGE GEORGES BRASSENS,MONTPELLIER,AUDE,NARBONNE,PU,113,"10,5"
0110665N,COLLEGE VARSOVIE,MONTPELLIER,AUDE,CARCASSONNE,PU,190,"10,2"
0110666P,COLLEGE LE BASTION,MONTPELLIER,AUDE,CARCASSONNE,PU,122,"10,9"
0110667R,COLLEGE PIERRE ET MARIE CURIE,MONTPELLIER,AUDE,RIEUX MINERVOIS,PU,94,"10,7"
0110672W,COLLEGE JULES VERNE,MONTPELLIER,AUDE,CARCASSONNE,PU,114,"10,2"
0110674Y,COLLEGE GASTON BONHEUR,MONTPELLIER,AUDE,TREBES,PU,75,"9,5"
0110675Z,COLLEGE MICHEL BOUSQUIE,MONTPELLIER,AUDE,QUILLAN,PU,35,"8,1"
0110676A,COLLEGE SAINT-EXUPERY,MONTPELLIER,AUDE,BRAM,PU,140,"10,1"
0110686L,COLLEGE JOSEPH ANGLADE,MONTPELLIER,AUDE,LEZIGNAN CORBIERES,PU,160,"9,7"
0110721Z,COLLEGE ANTOINE COURRIERE,MONTPELLIER,AUDE,CUXAC CABARDES,PU,72,"10,6"
0110724C,COLLEGE DES CORBIERES MARITIMES,MONTPELLIER,AUDE,SIGEAN,PU,156,"9,0"
0110725D,COLLEGE LA NADIERE,MONTPELLIER,AUDE,PORT LA NOUVELLE,PU,67,"9,1"
0110788X,COLLEGE MONTESQUIEU,MONTPELLIER,AUDE,NARBONNE,PU,117,"9,0"
0110810W,COLLEGE SIMONE VEIL,MONTPELLIER,AUDE,CARCASSONNE,PU,177,"10,2"
0110825M,COLLEGE LES FONTANILLES,MONTPELLIER,AUDE,CASTELNAUDARY,PU,149,"9,9"
0110859Z,COLLEGE JOSEPH DELTEIL,MONTPELLIER,AUDE,LIMOUX,PU,202,"10,7"
0110896P,COLLEGE PRIVE JEANNE D ARC,MONTPELLIER,AUDE,CASTELNAUDARY,PR,28,"11,4"
0111015U,COLLEGE MARCELIN ALBERT,MONTPELLIER,AUDE,SAINT NAZAIRE D AUDE,PU,162,"10,0"
0111034P,COLLEGE PRIVE L'AMANDIER,MONTPELLIER,AUDE,LEZIGNAN CORBIERES,PR,39,"12,7"
0111051H,COLLEGE ROSA PARKS,MONTPELLIER,AUDE,LEZIGNAN CORBIERES,PU,99,"8,8"
0120002M,COLLEGE VOLTAIRE,TOULOUSE,AVEYRON,CAPDENAC GARE,PU,59,"12,0"
0120004P,COLLEGE JEAN JAURES,TOULOUSE,AVEYRON,CRANSAC,PU,21,"10,1"
0120011X,COLLEGE PIERRE SOULAGES,TOULOUSE,AVEYRON,MARCILLAC VALLON,PU,64,"12,9"
0120016C,COLLEGE DU CARLADEZ,TOULOUSE,AVEYRON,MUR DE BARREZ,PU,24,"10,9"
0120017D,COLLEGE JEAN BOUDOU,TOULOUSE,AVEYRON,NAUCELLE,PU,34,"14,2"
0120018E,COLLEGE JEAN AMANS,TOULOUSE,AVEYRON,PONT DE SALARS,PU,77,"12,4"
0120019F,COLLEGE CELESTIN SOUREZES,TOULOUSE,AVEYRON,REQUISTA,PU,49,"10,0"
0120020G,COLLEGE LUCIE AUBRAC,TOULOUSE,AVEYRON,RIEUPEYROUX,PU,26,"10,8"
0120021H,COLLEGE GEORGES ROUQUIER,TOULOUSE,AVEYRON,RIGNAC,PU,83,"12,5"
0120028R,COLLEGE DENYS PUECH,TOULOUSE,AVEYRON,SAINT GENIEZ D OLT ET D AUBRAC,PU,34,"12,4"
0120029S,COLLEGE JEAN D'ALEMBERT,TOULOUSE,AVEYRON,SEVERAC D AVEYRON,PU,37,"12,2"
0120032V,COLLEGE ALBERT CAMUS,TOULOUSE,AVEYRON,BARAQUEVILLE,PU,107,"13,3"
0120055V,COLLEGE PRIVE DOMINIQUE SAVIO,TOULOUSE,AVEYRON,RIEUPEYROUX,PR,21,"11,0"
0120070L,COLLEGE PRIVE JEANNE D'ARC,TOULOUSE,AVEYRON,RIGNAC,PR,32,"13,4"
0120077U,COLLEGE PRIVE DES MONTS ET LACS,TOULOUSE,AVEYRON,SALLES CURAN,PR,24,"12,9"
0120078V,COLLEGE PRIVE SACRE COEUR,TOULOUSE,AVEYRON,LAISSAC SEVERAC L EGLISE,PR,36,"13,4"
0120081Y,COLLEGE PRIVE SAINT-MICHEL,TOULOUSE,AVEYRON,BELMONT SUR RANCE,PR,30,"12,9"
0120082Z,COLLEGE PRIVE SAINT-LOUIS,TOULOUSE,AVEYRON,CAPDENAC GARE,PR,34,"13,3"
